SYMBOL	Case_cnt	Control_cnt	diff
CELA1	50	61	-11
OR2C1	6	17	-11
SLC22A24	70	81	-11
CLDN16	29	40	-11
SLC35G6	68	79	-11
NOS2P1	28	39	-11
DEFB126	55	66	-11
KCNMB3	8	19	-11
PSG9	9	20	-11
ZNF492	18	29	-11
OR5K2	16	28	-12
RP11-764K9.4	70	82	-12
AKAP3	14	26	-12
OR4P4	15	27	-12
SCRN3	42	54	-12
BCLAF1	2	14	-12
AMPD1	15	27	-12
RP11-1396O13.13	8	20	-12
ZNF443	21	33	-12
CHRFAM7A	45	58	-13
SLC22A10	57	70	-13
SIGLEC12	23	36	-13
C5orf20	56	69	-13
SLC22A1	56	70	-14
TRIM51GP	68	82	-14
OR8K1	62	76	-14
PTCHD3	68	82	-14
HIBCH	53	67	-14
PSG1	17	31	-14
CCDC144NL	70	84	-14
CATSPER2	33	47	-14
KRTAP19-6	69	84	-15
SIRPA	42	57	-15
ZNF419	63	78	-15
SLC41A3	22	37	-15
OR2T4	55	71	-16
PYGL	36	52	-16
TIGD6	50	66	-16
